RBP_motif_id	RBP_name	Motif_type	Organism
DDX55_5	DDX55	meme_xml	human
DDX55_6	DDX55	meme_xml	human
DDX58_1	DDX58	meme_xml	human
DDX59_1	DDX59	meme_xml	human
DGCR8_1	DGCR8	meme_xml	human
DKC1_1	DKC1	meme_xml	human
DKC1_2	DKC1	meme_xml	human
DKC1_3	DKC1	meme_xml	human
EFTUD2_1	EFTUD2	meme_xml	human
EIF3D_1	EIF3D	meme_xml	human
EIF3D_2	EIF3D	meme_xml	human
EIF3D_3	EIF3D	meme_xml	human
EIF3D_4	EIF3D	meme_xml	human
EIF3D_5	EIF3D	meme_xml	human
EIF4A3_1	EIF4A3	meme_xml	human
EIF4A3_2	EIF4A3	meme_xml	human
EIF4A3_3	EIF4A3	meme_xml	human
EIF4B_1	EIF4B	meme_xml	human
EIF4G2_1	EIF4G2	meme_xml	human
EIF4G2_2	EIF4G2	meme_xml	human
EIF4G2_3	EIF4G2	meme_xml	human
EIF4G2_4	EIF4G2	meme_xml	human
ELAVL1_1	ELAVL1	meme_xml	human
ELAVL1_2	ELAVL1	meme_xml	human
ELAVL1_3	ELAVL1	meme_xml	human
ELAVL1_4	ELAVL1	meme_xml	human
ELAVL2_1	ELAVL2	meme_xml	human
ELAVL2_2	ELAVL2	meme_xml	human
ELAVL2_3	ELAVL2	meme_xml	human
ELAVL2_4	ELAVL2	meme_xml	human
ELAVL3_1	ELAVL3	meme_xml	human
ELAVL3_2	ELAVL3	meme_xml	human
ELAVL3_3	ELAVL3	meme_xml	human
ELAVL4_1	ELAVL4	meme_xml	human
ELAVL4_2	ELAVL4	meme_xml	human
ELAVL4_3	ELAVL4	meme_xml	human
ENOX1_1	ENOX1	meme_xml	human
ERI1_1	ERI1	meme_xml	human
ESRP1_1	ESRP1	meme_xml	human
ESRP1_2	ESRP1	meme_xml	human
ESRP1_3	ESRP1	meme_xml	human
ESRP2_1	ESRP2	meme_xml	human
EWSR1_1	EWSR1	meme_xml	human
EWSR1_2	EWSR1	meme_xml	human
FAM120A_1	FAM120A	meme_xml	human
FAM120A_2	FAM120A	meme_xml	human
FAM120A_3	FAM120A	meme_xml	human
FASTKD2_1	FASTKD2	meme_xml	human
FASTKD2_2	FASTKD2	meme_xml	human
FASTKD2_3	FASTKD2	meme_xml	human
FBL_1	FBL	meme_xml	human
FIP1L1_1	FIP1L1	meme_xml	human
FIP1L1_2	FIP1L1	meme_xml	human
FMR1_1	FMR1	meme_xml	human
FMR1_2	FMR1	meme_xml	human
FMR1_3	FMR1	meme_xml	human
FMR1_4	FMR1	meme_xml	human
FMR1_5	FMR1	meme_xml	human
FTO_1	FTO	meme_xml	human
FTO_2	FTO	meme_xml	human
FUBP1_1	FUBP1	meme_xml	human
FUBP1_2	FUBP1	meme_xml	human
FUBP1_3	FUBP1	meme_xml	human
FUBP3_1	FUBP3	meme_xml	human
FUBP3_2	FUBP3	meme_xml	human
FUS_1	FUS	meme_xml	human
FUS_2	FUS	meme_xml	human
FXR1_1	FXR1	meme_xml	human
FXR1_2	FXR1	meme_xml	human
FXR2_1	FXR2	meme_xml	human
FXR2_2	FXR2	meme_xml	human
FXR2_3	FXR2	meme_xml	human
FXR2_4	FXR2	meme_xml	human
FXR2_5	FXR2	meme_xml	human
G3BP1_1	G3BP1	meme_xml	human
G3BP1_2	G3BP1	meme_xml	human
G3BP2_1	G3BP2	meme_xml	human
GNL3_1	GNL3	meme_xml	human
GNL3_2	GNL3	meme_xml	human
GPKOW_1	GPKOW	meme_xml	human
GPKOW_2	GPKOW	meme_xml	human
GRSF1_1	GRSF1	meme_xml	human
GRSF1_2	GRSF1	meme_xml	human
GRWD1_1	GRWD1	meme_xml	human
GRWD1_2	GRWD1	meme_xml	human
GTF2F1_1	GTF2F1	meme_xml	human
HLTF_1	HLTF	meme_xml	human
HNRNPA0_1	HNRNPA0	meme_xml	human
HNRNPA0_2	HNRNPA0	meme_xml	human
HNRNPA1_1	HNRNPA1	meme_xml	human
HNRNPA1_2	HNRNPA1	meme_xml	human
HNRNPA1_3	HNRNPA1	meme_xml	human
HNRNPA1_4	HNRNPA1	meme_xml	human
HNRNPA1_5	HNRNPA1	meme_xml	human
HNRNPA1_6	HNRNPA1	meme_xml	human
HNRNPA1_7	HNRNPA1	meme_xml	human
HNRNPA1L2_1	HNRNPA1L2	meme_xml	human
HNRNPA2B1_1	HNRNPA2B1	meme_xml	human
HNRNPA2B1_2	HNRNPA2B1	meme_xml	human
HNRNPA2B1_3	HNRNPA2B1	meme_xml	human
HNRNPA2B1_4	HNRNPA2B1	meme_xml	human
HNRNPA3_1	HNRNPA3	meme_xml	human
HNRNPAB_1	HNRNPAB	meme_xml	human
HNRNPAB_2	HNRNPAB	meme_xml	human
HNRNPAB_3	HNRNPAB	meme_xml	human
HNRNPC_1	HNRNPC	meme_xml	human
HNRNPC_2	HNRNPC	meme_xml	human
HNRNPCL1_1	HNRNPCL1	meme_xml	human
HNRNPD_1	HNRNPD	meme_xml	human
HNRNPD_2	HNRNPD	meme_xml	human
HNRNPD_3	HNRNPD	meme_xml	human
HNRNPDL_1	HNRNPDL	meme_xml	human
HNRNPDL_2	HNRNPDL	meme_xml	human
HNRNPDL_3	HNRNPDL	meme_xml	human
HNRNPF_1	HNRNPF	meme_xml	human
HNRNPH1_1	HNRNPH1	meme_xml	human
HNRNPH2_1	HNRNPH2	meme_xml	human
HNRNPK_1	HNRNPK	meme_xml	human
HNRNPK_2	HNRNPK	meme_xml	human
HNRNPL_1	HNRNPL	meme_xml	human
HNRNPL_2	HNRNPL	meme_xml	human
HNRNPL_3	HNRNPL	meme_xml	human
HNRNPL_4	HNRNPL	meme_xml	human
HNRNPL_5	HNRNPL	meme_xml	human
HNRNPLL_1	HNRNPLL	meme_xml	human
HNRNPLL_2	HNRNPLL	meme_xml	human
HNRNPM_1	HNRNPM	meme_xml	human
HNRNPM_2	HNRNPM	meme_xml	human
HNRNPM_3	HNRNPM	meme_xml	human
HNRNPM_4	HNRNPM	meme_xml	human
HNRNPM_5	HNRNPM	meme_xml	human
HNRNPU_1	HNRNPU	meme_xml	human
HNRNPU_2	HNRNPU	meme_xml	human
HNRNPU_3	HNRNPU	meme_xml	human
HNRNPU_4	HNRNPU	meme_xml	human
HNRNPU_5	HNRNPU	meme_xml	human
HNRNPU_6	HNRNPU	meme_xml	human
HNRNPUL1_1	HNRNPUL1	meme_xml	human
HNRNPUL1_2	HNRNPUL1	meme_xml	human
HNRNPUL1_3	HNRNPUL1	meme_xml	human
HNRNPUL1_4	HNRNPUL1	meme_xml	human
IFIH1_1	IFIH1	meme_xml	human
IGF2BP1_1	IGF2BP1	meme_xml	human
IGF2BP1_2	IGF2BP1	meme_xml	human
IGF2BP1_3	IGF2BP1	meme_xml	human
IGF2BP1_4	IGF2BP1	meme_xml	human
IGF2BP2_1	IGF2BP2	meme_xml	human
IGF2BP2_2	IGF2BP2	meme_xml	human
IGF2BP3_1	IGF2BP3	meme_xml	human
IGHMBP2_1	IGHMBP2	meme_xml	human
ILF2_1	ILF2	meme_xml	human
ILF2_2	ILF2	meme_xml	human
ILF3_1	ILF3	meme_xml	human
ILF3_2	ILF3	meme_xml	human
ILF3_3	ILF3	meme_xml	human
KHDRBS1_1	KHDRBS1	meme_xml	human
KHDRBS1_2	KHDRBS1	meme_xml	human
KHDRBS2_1	KHDRBS2	meme_xml	human
KHDRBS3_1	KHDRBS3	meme_xml	human
KHDRBS3_2	KHDRBS3	meme_xml	human
KHSRP_1	KHSRP	meme_xml	human
KHSRP_2	KHSRP	meme_xml	human
KHSRP_3	KHSRP	meme_xml	human
KHSRP_4	KHSRP	meme_xml	human
KHSRP_5	KHSRP	meme_xml	human
LARP4_1	LARP4	meme_xml	human
LARP4_2	LARP4	meme_xml	human
LARP4_3	LARP4	meme_xml	human
LARP4B_1	LARP4B	meme_xml	human
LIN28A_1	LIN28A	meme_xml	human
LIN28B_1	LIN28B	meme_xml	human
LSM11_1	LSM11	meme_xml	human
LSM11_2	LSM11	meme_xml	human
LSM11_3	LSM11	meme_xml	human
LSM11_4	LSM11	meme_xml	human
MATR3_1	MATR3	meme_xml	human
MBNL1_1	MBNL1	meme_xml	human
MBNL1_2	MBNL1	meme_xml	human
MBNL1_3	MBNL1	meme_xml	human
MBNL1_4	MBNL1	meme_xml	human
MBNL1_5	MBNL1	meme_xml	human
METAP2_1	METAP2	meme_xml	human
MSI1_1	MSI1	meme_xml	human
MSI1_2	MSI1	meme_xml	human
MSI1_3	MSI1	meme_xml	human
MSI1_4	MSI1	meme_xml	human
MSI2_1	MSI2	meme_xml	human
MTPAP_1	MTPAP	meme_xml	human
MTPAP_2	MTPAP	meme_xml	human
NCBP2_1	NCBP2	meme_xml	human
NCBP2_2	NCBP2	meme_xml	human
NCBP2_3	NCBP2	meme_xml	human
NELFE_1	NELFE	meme_xml	human
NELFE_2	NELFE	meme_xml	human
NKRF_1	NKRF	meme_xml	human
NKRF_2	NKRF	meme_xml	human
NKRF_3	NKRF	meme_xml	human
NOL12_1	NOL12	meme_xml	human
NOL12_2	NOL12	meme_xml	human
NONO_1	NONO	meme_xml	human
NONO_2	NONO	meme_xml	human
NOP56_1	NOP56	meme_xml	human
NOP58_1	NOP58	meme_xml	human
NOVA1_1	NOVA1	meme_xml	human
NOVA2_1	NOVA2	meme_xml	human
NOVA2_2	NOVA2	meme_xml	human
NOVA2_3	NOVA2	meme_xml	human
NOVA2_4	NOVA2	meme_xml	human
NPM1_1	NPM1	meme_xml	human
NPM1_2	NPM1	meme_xml	human
NSUN2_1	NSUN2	meme_xml	human
NSUN2_2	NSUN2	meme_xml	human
NUMA1_1	NUMA1	meme_xml	human
NUP42_1	NUP42	meme_xml	human
NUP42_2	NUP42	meme_xml	human
NXF1_1	NXF1	meme_xml	human
OAS1_1	OAS1	meme_xml	human
OBI1_1	OBI1	meme_xml	human
PABPC1_1	PABPC1	meme_xml	human
PABPC1_2	PABPC1	meme_xml	human
PABPC1_3	PABPC1	meme_xml	human
PABPC3_1	PABPC3	meme_xml	human
PABPC4_1	PABPC4	meme_xml	human
PABPC5_1	PABPC5	meme_xml	human
PABPN1_1	PABPN1	meme_xml	human
PABPN1L_1	PABPN1L	meme_xml	human
PARP1_1	PARP1	meme_xml	human
PARP1_2	PARP1	meme_xml	human
PCBP1_1	PCBP1	meme_xml	human
PCBP1_2	PCBP1	meme_xml	human
PCBP1_3	PCBP1	meme_xml	human
PCBP1_4	PCBP1	meme_xml	human
PCBP1_5	PCBP1	meme_xml	human
PCBP1_6	PCBP1	meme_xml	human
PCBP1_7	PCBP1	meme_xml	human
PCBP2_1	PCBP2	meme_xml	human
PCBP2_2	PCBP2	meme_xml	human
PCBP2_3	PCBP2	meme_xml	human
PCBP2_4	PCBP2	meme_xml	human
PCBP2_5	PCBP2	meme_xml	human
PCBP2_6	PCBP2	meme_xml	human
PCBP2_7	PCBP2	meme_xml	human
PCBP2_8	PCBP2	meme_xml	human
PCBP2_9	PCBP2	meme_xml	human
PCBP4_1	PCBP4	meme_xml	human
PCBP4_2	PCBP4	meme_xml	human
PPIE_1	PPIE	meme_xml	human
PPIE_2	PPIE	meme_xml	human
PPIG_1	PPIG	meme_xml	human
PPIG_2	PPIG	meme_xml	human
PPIL4_1	PPIL4	meme_xml	human
PPIL4_2	PPIL4	meme_xml	human
PPIL4_3	PPIL4	meme_xml	human
PPIL4_4	PPIL4	meme_xml	human
PPIL4_5	PPIL4	meme_xml	human
PPRC1_1	PPRC1	meme_xml	human
PRPF8_1	PRPF8	meme_xml	human
PRPF8_2	PRPF8	meme_xml	human
PRPF8_3	PRPF8	meme_xml	human
PRR3_1	PRR3	meme_xml	human
PRR3_2	PRR3	meme_xml	human
PTBP1_1	PTBP1	meme_xml	human
PTBP1_2	PTBP1	meme_xml	human
PTBP1_3	PTBP1	meme_xml	human
PTBP1_4	PTBP1	meme_xml	human
PTBP1_5	PTBP1	meme_xml	human
PTBP2_1	PTBP2	meme_xml	human
PTBP3_1	PTBP3	meme_xml	human
PUF60_1	PUF60	meme_xml	human
PUM1_1	PUM1	meme_xml	human
PUM1_2	PUM1	meme_xml	human
PUM1_3	PUM1	meme_xml	human
PUM2_1	PUM2	meme_xml	human
PUM2_2	PUM2	meme_xml	human
PUM2_3	PUM2	meme_xml	human
PUM2_4	PUM2	meme_xml	human
PUM2_5	PUM2	meme_xml	human
QKI_1	QKI	meme_xml	human
QKI_2	QKI	meme_xml	human
QKI_3	QKI	meme_xml	human
QKI_4	QKI	meme_xml	human
QKI_5	QKI	meme_xml	human
QKI_6	QKI	meme_xml	human
QKI_7	QKI	meme_xml	human
QKI_8	QKI	meme_xml	human
RALY_1	RALY	meme_xml	human
RALYL_1	RALYL	meme_xml	human
RANGAP1_1	RANGAP1	meme_xml	human
RBFOX1_1	RBFOX1	meme_xml	human
RBFOX1_2	RBFOX1	meme_xml	human
RBFOX1_3	RBFOX1	meme_xml	human
RBFOX1_4	RBFOX1	meme_xml	human
RBFOX2_1	RBFOX2	meme_xml	human
RBFOX2_2	RBFOX2	meme_xml	human
RBFOX3_1	RBFOX3	meme_xml	human
RBM3_1	RBM3	meme_xml	human
RBM4_1	RBM4	meme_xml	human
RBM4_2	RBM4	meme_xml	human
RBM4B_1	RBM4B	meme_xml	human
RBM4B_2	RBM4B	meme_xml	human
RBM4B_3	RBM4B	meme_xml	human
RBM5_1	RBM5	meme_xml	human
RBM5_2	RBM5	meme_xml	human
RBM5_3	RBM5	meme_xml	human
RBM6_1	RBM6	meme_xml	human
RBM8A_1	RBM8A	meme_xml	human
RBM10_1	RBM10	meme_xml	human
RBM10_2	RBM10	meme_xml	human
RBM14_1	RBM14	meme_xml	human
RBM15_1	RBM15	meme_xml	human
RBM15B_1	RBM15B	meme_xml	human
RBM15B_2	RBM15B	meme_xml	human
RBM22_1	RBM22	meme_xml	human
RBM22_2	RBM22	meme_xml	human
RBM22_3	RBM22	meme_xml	human
RBM22_4	RBM22	meme_xml	human
RBM22_5	RBM22	meme_xml	human
RBM22_6	RBM22	meme_xml	human
RBM22_7	RBM22	meme_xml	human
RBM23_1	RBM23	meme_xml	human
RBM23_2	RBM23	meme_xml	human
RBM24_1	RBM24	meme_xml	human
RBM25_1	RBM25	meme_xml	human
RBM25_2	RBM25	meme_xml	human
RBM25_3	RBM25	meme_xml	human
RBM25_4	RBM25	meme_xml	human
RBM28_1	RBM28	meme_xml	human
RBM39_1	RBM39	meme_xml	human
RBM41_1	RBM41	meme_xml	human
RBM42_1	RBM42	meme_xml	human
RBM45_1	RBM45	meme_xml	human
RBM45_2	RBM45	meme_xml	human
RBM45_3	RBM45	meme_xml	human
RBM45_4	RBM45	meme_xml	human
RBM45_5	RBM45	meme_xml	human
RBM46_1	RBM46	meme_xml	human
RBM47_1	RBM47	meme_xml	human
RBMS1_1	RBMS1	meme_xml	human
RBMS2_1	RBMS2	meme_xml	human
RBMS3_1	RBMS3	meme_xml	human
RBMS3_2	RBMS3	meme_xml	human
RBMS3_3	RBMS3	meme_xml	human
RBMS3_4	RBMS3	meme_xml	human
RBMS3_5	RBMS3	meme_xml	human
RBMX_1	RBMX	meme_xml	human
RBMX_2	RBMX	meme_xml	human
RBMY1A1_1	RBMY1A1	meme_xml	human
RC3H1_1	RC3H1	meme_xml	human
RC3H1_2	RC3H1	meme_xml	human
TROVE2_1	TROVE2	meme_xml	human
TROVE2_2	TROVE2	meme_xml	human
TROVE2_3	TROVE2	meme_xml	human
TROVE2_4	TROVE2	meme_xml	human
TROVE2_5	TROVE2	meme_xml	human
TROVE2_6	TROVE2	meme_xml	human
TROVE2_7	TROVE2	meme_xml	human
RPS5_1	RPS5	meme_xml	human
RPS5_2	RPS5	meme_xml	human
SAFB2_1	SAFB2	meme_xml	human
SAFB2_2	SAFB2	meme_xml	human
SAMD4A_1	SAMD4A	meme_xml	human
SART3_1	SART3	meme_xml	human
SF1_1	SF1	meme_xml	human
SF1_2	SF1	meme_xml	human
SF3A3_1	SF3A3	meme_xml	human
SF3A3_2	SF3A3	meme_xml	human
SF3A3_3	SF3A3	meme_xml	human
SF3A3_4	SF3A3	meme_xml	human
SF3B4_1	SF3B4	meme_xml	human
SF3B4_2	SF3B4	meme_xml	human
SFPQ_1	SFPQ	meme_xml	human
SFPQ_2	SFPQ	meme_xml	human
SFPQ_3	SFPQ	meme_xml	human
SFPQ_4	SFPQ	meme_xml	human
SFPQ_5	SFPQ	meme_xml	human
SFPQ_6	SFPQ	meme_xml	human
SLTM_1	SLTM	meme_xml	human
SMNDC1_1	SMNDC1	meme_xml	human
SMNDC1_2	SMNDC1	meme_xml	human
SND1_1	SND1	meme_xml	human
SND1_2	SND1	meme_xml	human
SND1_3	SND1	meme_xml	human
SND1_4	SND1	meme_xml	human
SND1_5	SND1	meme_xml	human
SNRNP70_1	SNRNP70	meme_xml	human
SNRPA_1	SNRPA	meme_xml	human
SNRPA_2	SNRPA	meme_xml	human
SNRPA_3	SNRPA	meme_xml	human
SNRPB2_1	SNRPB2	meme_xml	human
SOX2_1	SOX2	meme_xml	human
SRP14_1	SRP14	meme_xml	human
SRP68_1	SRP68	meme_xml	human
SRRM4_1	SRRM4	meme_xml	human
SRRM4_2	SRRM4	meme_xml	human
SRSF1_1	SRSF1	meme_xml	human
SRSF1_2	SRSF1	meme_xml	human
SRSF1_3	SRSF1	meme_xml	human
SRSF1_4	SRSF1	meme_xml	human
SRSF1_5	SRSF1	meme_xml	human
SRSF1_6	SRSF1	meme_xml	human
SRSF1_7	SRSF1	meme_xml	human
SRSF1_8	SRSF1	meme_xml	human
SRSF1_9	SRSF1	meme_xml	human
SRSF1_10	SRSF1	meme_xml	human
SRSF1_11	SRSF1	meme_xml	human
SRSF2_1	SRSF2	meme_xml	human
SRSF2_2	SRSF2	meme_xml	human
SRSF2_3	SRSF2	meme_xml	human
SRSF2_4	SRSF2	meme_xml	human
SRSF2_5	SRSF2	meme_xml	human
SRSF2_6	SRSF2	meme_xml	human
SRSF2_7	SRSF2	meme_xml	human
SRSF2_8	SRSF2	meme_xml	human
SRSF3_1	SRSF3	meme_xml	human
SRSF3_2	SRSF3	meme_xml	human
SRSF3_3	SRSF3	meme_xml	human
SRSF3_4	SRSF3	meme_xml	human
SRSF4_1	SRSF4	meme_xml	human
SRSF4_2	SRSF4	meme_xml	human
SRSF5_1	SRSF5	meme_xml	human
SRSF5_2	SRSF5	meme_xml	human
SRSF5_3	SRSF5	meme_xml	human
SRSF5_4	SRSF5	meme_xml	human
SRSF5_5	SRSF5	meme_xml	human
SRSF6_1	SRSF6	meme_xml	human
SRSF6_2	SRSF6	meme_xml	human
SRSF6_3	SRSF6	meme_xml	human
SRSF6_4	SRSF6	meme_xml	human
SRSF7_1	SRSF7	meme_xml	human
SRSF7_2	SRSF7	meme_xml	human
SRSF7_3	SRSF7	meme_xml	human
SRSF7_4	SRSF7	meme_xml	human
SRSF7_5	SRSF7	meme_xml	human
SRSF7_6	SRSF7	meme_xml	human
SRSF7_7	SRSF7	meme_xml	human
SRSF7_8	SRSF7	meme_xml	human
SRSF7_9	SRSF7	meme_xml	human
SRSF7_10	SRSF7	meme_xml	human
SRSF8_1	SRSF8	meme_xml	human
SRSF8_2	SRSF8	meme_xml	human
SRSF9_1	SRSF9	meme_xml	human
SRSF10_1	SRSF10	meme_xml	human
SRSF10_2	SRSF10	meme_xml	human
SRSF10_3	SRSF10	meme_xml	human
SRSF10_4	SRSF10	meme_xml	human
SRSF10_5	SRSF10	meme_xml	human
SRSF11_1	SRSF11	meme_xml	human
SRSF11_2	SRSF11	meme_xml	human
SSB_1	SSB	meme_xml	human
SUB1_1	SUB1	meme_xml	human
SUB1_2	SUB1	meme_xml	human
SUGP2_1	SUGP2	meme_xml	human
SUGP2_2	SUGP2	meme_xml	human
SUPV3L1_1	SUPV3L1	meme_xml	human
SUPV3L1_2	SUPV3L1	meme_xml	human
SYNCRIP_1	SYNCRIP	meme_xml	human
TAF15_1	TAF15	meme_xml	human
TAF15_2	TAF15	meme_xml	human
TAF15_3	TAF15	meme_xml	human
TAF15_4	TAF15	meme_xml	human
TAF15_5	TAF15	meme_xml	human
TARBP2_1	TARBP2	meme_xml	human
TARBP2_2	TARBP2	meme_xml	human
TARBP2_3	TARBP2	meme_xml	human
TARDBP_1	TARDBP	meme_xml	human
TARDBP_2	TARDBP	meme_xml	human
TARDBP_3	TARDBP	meme_xml	human
TBRG4_1	TBRG4	meme_xml	human
TBRG4_2	TBRG4	meme_xml	human
TIA1_1	TIA1	meme_xml	human
TIAL1_1	TIAL1	meme_xml	human
TIAL1_2	TIAL1	meme_xml	human
TNRC6A_1	TNRC6A	meme_xml	human
TNRC6A_2	TNRC6A	meme_xml	human
TRA2A_1	TRA2A	meme_xml	human
TRA2A_2	TRA2A	meme_xml	human
TRA2A_3	TRA2A	meme_xml	human
TRA2A_4	TRA2A	meme_xml	human
TRA2A_5	TRA2A	meme_xml	human
TRA2B_1	TRA2B	meme_xml	human
TRA2B_2	TRA2B	meme_xml	human
TRNAU1AP_1	TRNAU1AP	meme_xml	human
TRNAU1AP_2	TRNAU1AP	meme_xml	human
TUT1_1	TUT1	meme_xml	human
TUT1_2	TUT1	meme_xml	human
U2AF1_1	U2AF1	meme_xml	human
U2AF1_2	U2AF1	meme_xml	human
U2AF1_3	U2AF1	meme_xml	human
U2AF1_4	U2AF1	meme_xml	human
U2AF2_1	U2AF2	meme_xml	human
U2AF2_2	U2AF2	meme_xml	human
U2AF2_3	U2AF2	meme_xml	human
UCHL5_1	UCHL5	meme_xml	human
UCHL5_2	UCHL5	meme_xml	human
UCHL5_3	UCHL5	meme_xml	human
UNK_1	UNK	meme_xml	human
UNK_2	UNK	meme_xml	human
UNK_3	UNK	meme_xml	human
UPF1_1	UPF1	meme_xml	human
WDR33_1	WDR33	meme_xml	human
XPO5_1	XPO5	meme_xml	human
XPO5_2	XPO5	meme_xml	human
XPO5_3	XPO5	meme_xml	human
XRCC6_1	XRCC6	meme_xml	human
XRCC6_2	XRCC6	meme_xml	human
XRCC6_3	XRCC6	meme_xml	human
XRCC6_4	XRCC6	meme_xml	human
XRN2_1	XRN2	meme_xml	human
XRN2_2	XRN2	meme_xml	human
XRN2_3	XRN2	meme_xml	human
YBX1_1	YBX1	meme_xml	human
YBX1_2	YBX1	meme_xml	human
YBX1_3	YBX1	meme_xml	human
YBX2_1	YBX2	meme_xml	human
YBX3_1	YBX3	meme_xml	human
YTHDC1_1	YTHDC1	meme_xml	human
YWHAG_1	YWHAG	meme_xml	human
ZC3H10_1	ZC3H10	meme_xml	human
ZCRB1_1	ZCRB1	meme_xml	human
ZFP36_1	ZFP36	meme_xml	human
ZFP36_2	ZFP36	meme_xml	human
ZFP36L2_1	ZFP36L2	meme_xml	human
ZFP36L2_2	ZFP36L2	meme_xml	human
ZNF184_1	ZNF184	meme_xml	human
ZNF326_1	ZNF326	meme_xml	human
ZNF326_2	ZNF326	meme_xml	human
ZNF326_3	ZNF326	meme_xml	human
ZNF622_1	ZNF622	meme_xml	human
ZNF622_2	ZNF622	meme_xml	human
ZNF622_3	ZNF622	meme_xml	human
ZNF638_1	ZNF638	meme_xml	human
ZRANB2_1	ZRANB2	meme_xml	human
ZRANB2_2	ZRANB2	meme_xml	human
ZRANB2_3	ZRANB2	meme_xml	human
ZRANB2_4	ZRANB2	meme_xml	human
RF00032	SLBP	cm	human
