RBP name	GeneID	Essential Genes	Splicing regulation	Spliceosome	RNA modification	3' end processing	rRNA processing	Ribosome & basic translation	RNA stability & decay	microRNA processing	RNA localization	RNA export	Translation regulation	tRNA regulation	mitochondrial RNA regulation	Viral RNA regulation	snoRNA / snRNA / telomerase	P-body / stress granules	Exon Junction Complex
CCNL1	ENSG00000163660	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC40	ENSG00000168438	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZ	ENSG00000115816	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF1	ENSG00000149187	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
CIRBP	ENSG00000099622	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
CKAP4	ENSG00000136026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMTR1	ENSG00000137200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT4	ENSG00000080802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT7	ENSG00000198791	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CORO1A	ENSG00000102879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB1	ENSG00000214575	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0
CPEB4	ENSG00000113742	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CPSF6	ENSG00000111605	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
CPSF7	ENSG00000149532	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF1	ENSG00000101138	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2	ENSG00000101811	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	ENSG00000177613	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZ3	ENSG00000187191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZAP1	ENSG00000071626	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDX1	ENSG00000079785	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
DDX19B	ENSG00000157349	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DDX20	ENSG00000064703	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX21	ENSG00000165732	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
DDX24	ENSG00000089737	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DDX27	ENSG00000124228	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX28	ENSG00000182810	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
DDX3X	ENSG00000215301	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
DDX3Y	ENSG00000067048	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX42	ENSG00000198231	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX47	ENSG00000213782	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX5	ENSG00000108654	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
DDX51	ENSG00000185163	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX52	ENSG00000141141	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	ENSG00000111364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	ENSG00000118197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	ENSG00000110367	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0
DEAF1	ENSG00000177030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGCR8	ENSG00000128191	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DHX29	ENSG00000067248	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DHX30	ENSG00000132153	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
DHX33	ENSG00000005100	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DKC1	ENSG00000130826	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
DNAJC17	ENSG00000104129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC2	ENSG00000105821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC21	ENSG00000168724	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DROSHA	ENSG00000113360	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EEF2	ENSG00000167658	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
EFTUD2	ENSG00000108883	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EIF2S1	ENSG00000134001	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF2S2	ENSG00000125977	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF3A	ENSG00000107581	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
EIF3D	ENSG00000100353	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
EIF3G	ENSG00000130811	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF3H	ENSG00000147677	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
EIF4A2	ENSG00000156976	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
EIF4A3	ENSG00000141543	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF4B	ENSG00000063046	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
EIF4G1	ENSG00000114867	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	ENSG00000110321	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
EIF4H	ENSG00000106682	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
ELAVL4	ENSG00000162374	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
ESF1	ENSG00000089048	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ESRP1	ENSG00000104413	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETF1	ENSG00000120705	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
EWSR1	ENSG00000182944	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC5	ENSG00000077348	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EXOSC9	ENSG00000123737	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM120A	ENSG00000048828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD1	ENSG00000138399	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FASTKD2	ENSG00000118246	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
FIP1L1	ENSG00000145216	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP4	ENSG00000004478	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FMR1	ENSG00000102081	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
FTO	ENSG00000140718	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FUBP1	ENSG00000162613	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
FUBP3	ENSG00000107164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUS	ENSG00000089280	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
FXR1	ENSG00000114416	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0
FXR2	ENSG00000129245	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
G3BP1	ENSG00000145907	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0
G3BP2	ENSG00000138757	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
GEMIN5	ENSG00000082516	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GLRX3	ENSG00000108010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNL3	ENSG00000163938	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GOLGB1	ENSG00000173230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPKOW	ENSG00000068394	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRSF1	ENSG00000132463	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
GRWD1	ENSG00000105447	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2F1	ENSG00000125651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDGF	ENSG00000143321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLTF	ENSG00000071794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1	ENSG00000189403	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA0	ENSG00000177733	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
HNRNPA1	ENSG00000135486	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0
HNRNPA2B1	ENSG00000122566	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0
HNRNPAB	ENSG00000197451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPC	ENSG00000092199	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0
HNRNPCL1	ENSG00000179172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPD	ENSG00000138668	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
HNRNPDL	ENSG00000152795	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HNRNPF	ENSG00000169813	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HNRNPH1	ENSG00000169045	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPH2	ENSG00000126945	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
HNRNPK	ENSG00000165119	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
HNRNPL	ENSG00000104824	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HNRNPLL	ENSG00000143889	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	ENSG00000099783	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
HNRNPU	ENSG00000153187	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
HNRNPUL1	ENSG00000105323	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
HSPD1	ENSG00000144381	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP1	ENSG00000159217	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
IGF2BP2	ENSG00000073792	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
IGF2BP3	ENSG00000136231	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
ILF2	ENSG00000143621	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0
ILF3	ENSG00000129351	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0
KHDRBS1	ENSG00000121774	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0
KHDRBS2	ENSG00000112232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHDRBS3	ENSG00000131773	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHSRP	ENSG00000088247	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0
KIF1C	ENSG00000129250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRR1	ENSG00000111615	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LARP1	ENSG00000155506	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
LARP4	ENSG00000161813	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
LARP7	ENSG00000174720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN28B	ENSG00000187772	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LSM11	ENSG00000155858	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
LSM4	ENSG00000130520	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGOH	ENSG00000162385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAK16	ENSG00000198042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK2	ENSG00000072518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MATR3	ENSG00000015479	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
MBNL1	ENSG00000152601	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
METAP2	ENSG00000111142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSI1	ENSG00000135097	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MSI2	ENSG00000153944	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MTPAP	ENSG00000107951	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
NAA15	ENSG00000164134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBP2	ENSG00000114503	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0
NELFE	ENSG00000204356	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NFX1	ENSG00000086102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIP7	ENSG00000132603	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NKRF	ENSG00000186416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL12	ENSG00000100101	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NOLC1	ENSG00000166197	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
NONO	ENSG00000147140	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NOVA1	ENSG00000139910	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
NPM1	ENSG00000181163	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NSUN2	ENSG00000037474	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NUFIP2	ENSG00000108256	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP35	ENSG00000163002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUPL2	ENSG00000136243	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NUSAP1	ENSG00000137804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF1	ENSG00000162231	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
PA2G4	ENSG00000170515	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
PABPC1	ENSG00000070756	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0
PABPC3	ENSG00000151846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4	ENSG00000090621	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PABPN1	ENSG00000100836	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
PABPN1L	ENSG00000205022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARN	ENSG00000140694	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PCBP1	ENSG00000169564	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
PCBP2	ENSG00000197111	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
PCBP3	ENSG00000183570	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP4	ENSG00000090097	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PES1	ENSG00000100029	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PHF6	ENSG00000156531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKM	ENSG00000067225	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNN	ENSG00000100941	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PNPT1	ENSG00000138035	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
POLK	ENSG00000122008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2G	ENSG00000168002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIG	ENSG00000138398	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIL4	ENSG00000131013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R8	ENSG00000117751	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF4	ENSG00000136875	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF6	ENSG00000101161	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF8	ENSG00000174231	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR3	ENSG00000204576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRC2C	ENSG00000117523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSIP1	ENSG00000164985	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PSPC1	ENSG00000121390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTBP1	ENSG00000011304	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0
PTBP3	ENSG00000119314	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PUF60	ENSG00000179950	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUM1	ENSG00000134644	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
PUM2	ENSG00000055917	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PUS1	ENSG00000177192	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
QKI	ENSG00000112531	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
RACK1	ENSG00000204628	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
RALY	ENSG00000125970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAVER1	ENSG00000161847	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBFOX2	ENSG00000100320	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RBFOX3	ENSG00000167281	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM14	ENSG00000239306	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RBM15	ENSG00000162775	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RBM15B	ENSG00000259956	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
RBM17	ENSG00000134453	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22	ENSG00000086589	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM23	ENSG00000100461	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM24	ENSG00000112183	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RBM25	ENSG00000119707	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM27	ENSG00000091009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM34	ENSG00000188739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM39	ENSG00000131051	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM4	ENSG00000173933	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
RBM41	ENSG00000089682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM45	ENSG00000155636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RBM47	ENSG00000163694	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RBM4B	ENSG00000173914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM5	ENSG00000003756	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM6	ENSG00000004534	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS2	ENSG00000076067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3	ENSG00000144642	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RBMX2	ENSG00000134597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC3H1	ENSG00000135870	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RCC2	ENSG00000179051	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL	ENSG00000004700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL5	ENSG00000108469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23A	ENSG00000198242	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPLP0	ENSG00000089157	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS10	ENSG00000124614	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
RPS11	ENSG00000142534	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS19	ENSG00000105372	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
RPS2	ENSG00000140988	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS24	ENSG00000138326	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
RPS3	ENSG00000149273	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
RPS3A	ENSG00000145425	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPS5	ENSG00000083845	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
RRP9	ENSG00000114767	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
RTF1	ENSG00000137815	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SAFB2	ENSG00000130254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SART3	ENSG00000075856	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SBDS	ENSG00000126524	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SCAF4	ENSG00000156304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERBP1	ENSG00000142864	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
SF1	ENSG00000168066	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
